session_id,timestamp,avg_watt,avg_hr,w_per_beat,calibrated,precision_quality_hint,profile_version,total_watt,precision_watt,drag_watt,rolling_watt
16311219004,2025-11-19T08:00:32.766923,152.75095779833345,,,False,unknown,v1-883d8daf-20251119,152.75095779833345,159.94864690924967,132.59525632986134,35.917831966356985
16279854313,2025-11-19T08:00:34.368702,213.41715655713256,,,False,unknown,v1-883d8daf-20251119,213.41715655713256,223.4734623634896,154.5081458771426,39.7862404338078
16262232459,2025-11-19T08:00:36.905239,216.63371608842488,,,False,unknown,v1-883d8daf-20251119,216.63371608842488,226.8415875271465,144.31778509926272,36.35978157519571
16127771071,2025-11-19T08:00:39.249703,230.06908892170665,,,False,unknown,v1-883d8daf-20251119,230.06908892170665,240.9100407557138,144.5658074922553,38.65166426820785
16333270450,2025-11-19T08:00:42.509806,182.30478741884983,,,False,unknown,v1-883d8daf-20251119,182.30478741884983,190.89506536005217,112.39734799861021,34.61460495210808
16342459294,2025-11-19T08:00:44.607597,148.27793275893478,,,False,unknown,v1-883d8daf-20251119,148.27793275893478,155.2648510564762,138.85406656514684,33.60193231835514
16381383185,2025-11-19T08:00:46.451034,175.716429119638,,,False,unknown,v1-883d8daf-20251119,175.716429119638,183.9962608582597,105.49273859689795,32.538880368706124
16396031026,2025-11-19T08:00:49.668135,171.68623898847218,,,False,unknown,v1-883d8daf-20251119,171.68623898847218,179.7761664800756,120.36152280263893,35.18457172420942
16405483541,2025-11-19T08:00:51.985919,199.2314058968074,,,False,unknown,v1-883d8daf-20251119,199.2314058968074,208.61927319037423,131.3010335427908,37.019535259236875
16454599112,2025-11-19T08:00:53.761219,204.60657678919475,,,False,unknown,v1-883d8daf-20251119,204.60657678919475,214.24772438659136,143.03148842032633,39.75816867585477
16473718378,2025-11-19T08:00:55.730972,184.30407918310584,,,False,unknown,v1-883d8daf-20251119,184.30407918310584,192.98856458963962,146.37430372859205,38.03140980403688
16311219004,2025-10-31,152.75095779833345,,,,default,v1-883d8daf-20251119,unknown,0
16279854313,2025-10-28,213.41715655713256,,,,default,v1-883d8daf-20251119,unknown,0
16262232459,2025-10-26,216.63371608842488,,,,default,v1-883d8daf-20251119,unknown,0
16127771071,2025-10-13,230.06908892170665,,,,default,v1-883d8daf-20251119,unknown,0
16333270450,2025-11-02,182.30478741884983,,,,default,v1-883d8daf-20251119,unknown,0
16342459294,2025-11-03,148.27793275893478,,,,default,v1-883d8daf-20251119,unknown,0
16381383185,2025-11-07,175.716429119638,,,,default,v1-883d8daf-20251119,unknown,0
16396031026,2025-11-08,171.68623898847218,,,,default,v1-883d8daf-20251119,unknown,0
16405483541,2025-11-09,199.2314058968074,,,,default,v1-883d8daf-20251119,unknown,0
16454599112,2025-11-14,204.60657678919475,,,,default,v1-883d8daf-20251119,unknown,0
16473718378,2025-11-16,184.30407918310584,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,0.0,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,0.0,,,,default,v1-883d8daf-20251119,unknown,0
16311219004,2025-10-31,152.75095779833345,,,,default,v1-883d8daf-20251119,unknown,0
16279854313,2025-10-28,213.41715655713256,,,,default,v1-883d8daf-20251119,unknown,0
16262232459,2025-10-26,216.63371608842488,,,,default,v1-883d8daf-20251119,unknown,0
16127771071,2025-10-13,230.06908892170665,,,,default,v1-883d8daf-20251119,unknown,0
16333270450,2025-11-02,182.30478741884983,,,,default,v1-883d8daf-20251119,unknown,0
16342459294,2025-11-03,148.27793275893478,,,,default,v1-883d8daf-20251119,unknown,0
16381383185,2025-11-07,175.716429119638,,,,default,v1-883d8daf-20251119,unknown,0
16396031026,2025-11-08,171.68623898847218,,,,default,v1-883d8daf-20251119,unknown,0
16405483541,2025-11-09,199.2314058968074,,,,default,v1-883d8daf-20251119,unknown,0
16454599112,2025-11-14,204.60657678919475,,,,default,v1-883d8daf-20251119,unknown,0
16473718378,2025-11-16,184.30407918310584,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,118.4085910707662,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,166.9635519194215,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,180.15937636286446,,,,default,v1-883d8daf-20251119,unknown,0
16311219004,2025-10-31,152.75095779833345,,,,default,v1-883d8daf-20251119,unknown,0
16279854313,2025-10-28,213.41715655713256,,,,default,v1-883d8daf-20251119,unknown,0
16262232459,2025-10-26,216.63371608842488,,,,default,v1-883d8daf-20251119,unknown,0
16127771071,2025-10-13,230.06908892170665,,,,default,v1-883d8daf-20251119,unknown,0
16333270450,2025-11-02,182.30478741884983,,,,default,v1-883d8daf-20251119,unknown,0
16342459294,2025-11-03,148.27793275893478,,,,default,v1-883d8daf-20251119,unknown,0
16381383185,2025-11-07,175.716429119638,,,,default,v1-883d8daf-20251119,unknown,0
16396031026,2025-11-08,171.68623898847218,,,,default,v1-883d8daf-20251119,unknown,0
16405483541,2025-11-09,199.2314058968074,,,,default,v1-883d8daf-20251119,unknown,0
16454599112,2025-11-14,204.60657678919475,,,,default,v1-883d8daf-20251119,unknown,0
16473718378,2025-11-16,184.30407918310584,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,0.0,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,0.0,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,0.0,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,0.0,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,0.0,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,0.0,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,0.0,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,0.0,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,0.0,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-19,0.0,,,,default,v1-883d8daf-20251119,unknown,0
local-mini,2025-11-20,0.0,,,,default,v1-883d8daf-20251120,unknown,0
local-mini,2025-11-20,0.0,,,,default,v1-883d8daf-20251120,unknown,0
local-mini,2025-11-20,0.0,,,,default,v1-883d8daf-20251120,unknown,0
local-mini,2025-11-20,0.0,,,,default,v1-883d8daf-20251120,unknown,0
local-mini,2025-11-20,0.0,,,,default,v1-883d8daf-20251120,unknown,0
local-mini,2025-11-20,0.0,,,,default,v1-883d8daf-20251120,unknown,0
local-mini,2025-11-20,0.0,,,,default,v1-883d8daf-20251120,unknown,0
local-mini,2025-11-20,0.0,,,,default,v1-883d8daf-20251120,unknown,0
16311219004,2025-10-31,152.75095779833345,,,,default,v1-883d8daf-20251120,unknown,0
16279854313,2025-10-28,213.41715655713256,,,,default,v1-883d8daf-20251120,unknown,0
16262232459,2025-10-26,216.63371608842488,,,,default,v1-883d8daf-20251120,unknown,0
16127771071,2025-10-13,232.29238373814638,,,,default,v1-883d8daf-20251120,unknown,0
16333270450,2025-11-02,182.30478741884983,,,,default,v1-883d8daf-20251120,unknown,0
16342459294,2025-11-03,148.27793275893478,,,,default,v1-883d8daf-20251120,unknown,0
16381383185,2025-11-07,175.716429119638,,,,default,v1-883d8daf-20251120,unknown,0
16396031026,2025-11-08,171.68623898847218,,,,default,v1-883d8daf-20251120,unknown,0
16405483541,2025-11-09,199.2314058968074,,,,default,v1-883d8daf-20251120,unknown,0
16454599112,2025-11-14,204.60657678919475,,,,default,v1-883d8daf-20251120,unknown,0
16473718378,2025-11-16,184.30407918310584,,,,default,v1-883d8daf-20251120,unknown,0
local-mini,2025-11-20,0.0,,,,default,v1-883d8daf-20251120,unknown,0
local-mini,2025-11-20,0.0,,,,default,v1-883d8daf-20251120,unknown,0
16311219004,2025-10-31,152.75095779833345,,,,default,v1-883d8daf-20251122,unknown,0
16279854313,2025-10-28,213.41715655713256,,,,default,v1-883d8daf-20251122,unknown,0
16262232459,2025-10-26,216.63371608842488,,,,default,v1-883d8daf-20251122,unknown,0
16127771071,2025-10-13,223.42997691469142,,,,default,v1-883d8daf-20251122,unknown,0
16333270450,2025-11-02,182.30478741884983,,,,default,v1-883d8daf-20251122,unknown,0
16342459294,2025-11-03,148.27793275893478,,,,default,v1-883d8daf-20251122,unknown,0
16381383185,2025-11-07,175.716429119638,,,,default,v1-883d8daf-20251122,unknown,0
16396031026,2025-11-08,171.68623898847218,,,,default,v1-883d8daf-20251122,unknown,0
16405483541,2025-11-09,199.2314058968074,,,,default,v1-883d8daf-20251122,unknown,0
16454599112,2025-11-14,204.60657678919475,,,,default,v1-883d8daf-20251122,unknown,0
16473718378,2025-11-16,184.30407918310584,,,,default,v1-883d8daf-20251122,unknown,0
16530586366,2025-11-22,225.6490407742369,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
16311219004,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
16311219004,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
16311219004,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
16279854313,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
16279854313,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
16279854313,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
16279854313,2025-11-22,0.0,,,,default,v1-883d8daf-20251122,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
mock,2025-11-23,0.0,,,,default,v1-883d8daf-20251123,unknown,0
16311219004,2025-10-31,152.75095779833345,,,,default,v1-883d8daf-20251124,unknown,0
16279854313,2025-10-28,213.41715655713256,,,,default,v1-883d8daf-20251124,unknown,0
16262232459,2025-10-26,216.63371608842488,,,,default,v1-883d8daf-20251124,unknown,0
16127771071,2025-10-13,231.36715290252505,,,,default,v1-883d8daf-20251124,unknown,0
16333270450,2025-11-02,182.30478741884983,,,,default,v1-883d8daf-20251124,unknown,0
16342459294,2025-11-03,148.27793275893478,,,,default,v1-883d8daf-20251124,unknown,0
16381383185,2025-11-07,175.716429119638,,,,default,v1-883d8daf-20251124,unknown,0
16396031026,2025-11-08,171.68623898847218,,,,default,v1-883d8daf-20251124,unknown,0
16405483541,2025-11-09,199.2314058968074,,,,default,v1-883d8daf-20251124,unknown,0
16454599112,2025-11-14,204.60657678919475,,,,default,v1-883d8daf-20251124,unknown,0
16473718378,2025-11-16,184.30407918310584,,,,default,v1-883d8daf-20251124,unknown,0
16311219004,2025-10-31,152.75095779833345,,,,default,v1-883d8daf-20251124,unknown,0
16279854313,2025-10-28,213.41715655713256,,,,default,v1-883d8daf-20251124,unknown,0
16262232459,2025-10-26,216.63371608842488,,,,default,v1-883d8daf-20251124,unknown,0
16127771071,2025-10-13,231.36715290252505,,,,default,v1-883d8daf-20251124,unknown,0
16333270450,2025-11-02,182.30478741884983,,,,default,v1-883d8daf-20251124,unknown,0
16342459294,2025-11-03,148.27793275893478,,,,default,v1-883d8daf-20251124,unknown,0
16381383185,2025-11-07,175.716429119638,,,,default,v1-883d8daf-20251124,unknown,0
16396031026,2025-11-08,171.68623898847218,,,,default,v1-883d8daf-20251124,unknown,0
16405483541,2025-11-09,199.2314058968074,,,,default,v1-883d8daf-20251124,unknown,0
16454599112,2025-11-14,204.60657678919475,,,,default,v1-883d8daf-20251124,unknown,0
16473718378,2025-11-16,184.30407918310584,,,,default,v1-883d8daf-20251124,unknown,0
16530586366,2025-11-22,232.203877226192,,,,default,v1-883d8daf-20251124,unknown,0
16311219004,2025-10-31,152.75095779833345,,,,default,v1-883d8daf-20251124,unknown,0
16279854313,2025-10-28,213.41715655713256,,,,default,v1-883d8daf-20251124,unknown,0
16262232459,2025-10-26,216.63371608842488,,,,default,v1-883d8daf-20251124,unknown,0
16127771071,2025-10-13,231.36715290252505,,,,default,v1-883d8daf-20251124,unknown,0
16333270450,2025-11-02,182.30478741884983,,,,default,v1-883d8daf-20251124,unknown,0
16342459294,2025-11-03,148.27793275893478,,,,default,v1-883d8daf-20251124,unknown,0
16381383185,2025-11-07,175.716429119638,,,,default,v1-883d8daf-20251124,unknown,0
16396031026,2025-11-08,171.68623898847218,,,,default,v1-883d8daf-20251124,unknown,0
16405483541,2025-11-09,199.2314058968074,,,,default,v1-883d8daf-20251124,unknown,0
16454599112,2025-11-14,204.60657678919475,,,,default,v1-883d8daf-20251124,unknown,0
16473718378,2025-11-16,184.30407918310584,,,,default,v1-883d8daf-20251124,unknown,0
16530586366,2025-11-22,232.203877226192,,,,default,v1-883d8daf-20251124,unknown,0
16311219004,2025-10-31,152.75095779833345,,,,default,v1-883d8daf-20251124,unknown,0
16279854313,2025-10-28,213.41715655713256,,,,default,v1-883d8daf-20251124,unknown,0
16262232459,2025-10-26,216.63371608842488,,,,default,v1-883d8daf-20251124,unknown,0
16127771071,2025-10-13,231.36715290252505,,,,default,v1-883d8daf-20251124,unknown,0
16333270450,2025-11-02,182.30478741884983,,,,default,v1-883d8daf-20251124,unknown,0
16342459294,2025-11-03,148.27793275893478,,,,default,v1-883d8daf-20251124,unknown,0
16381383185,2025-11-07,175.716429119638,,,,default,v1-883d8daf-20251124,unknown,0
16396031026,2025-11-08,171.68623898847218,,,,default,v1-883d8daf-20251124,unknown,0
16405483541,2025-11-09,199.2314058968074,,,,default,v1-883d8daf-20251124,unknown,0
16454599112,2025-11-14,204.60657678919475,,,,default,v1-883d8daf-20251124,unknown,0
16473718378,2025-11-16,184.30407918310584,,,,default,v1-883d8daf-20251124,unknown,0
16530586366,2025-11-22,232.203877226192,,,,default,v1-883d8daf-20251124,unknown,0
